41.955817813 -87.654583094; 41.961867922 -87.648430138; 41.944315717 -87.644262239; 
41.997674376 -87.693152616; 42.008863862 -87.680736223; 42.016035274 -87.668927703; 
41.885384381 -87.629486511; 41.894465726 -87.624241063; 41.88295859 -87.658303592; 41.868165405 -87.62743954; 41.879876814 -87.627718261; 41.86947003 -87.653551437; 41.884276844 -87.622098929; 41.881441785 -87.667837814; 41.878840427 -87.639582928; 
41.967325012 -87.710886013; 41.972978683 -87.692050365; 41.972944196 -87.728159323; 
41.774255933 -87.586131105; 41.758048954 -87.584570877; 41.768065699 -87.567511611; 
41.917417316 -87.758530032; 41.918297265 -87.74372946; 41.917754433 -87.754621274; 
41.914064409 -87.712766855; 41.901301755 -87.726261294; 41.902725199 -87.71991121; 
41.910835515 -87.653351515; 41.918156823 -87.650066159; 41.910627254 -87.641002282; 
41.884333364 -87.619266937; 41.899410159 -87.624131266; 41.86821682 -87.6304532; 
41.885729338 -87.625780935; 41.892559086 -87.623450463; 41.866758579 -87.625813935; 
